Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Brunswick Instrument, LLC",866-236-5349,http://www.brunswickinstrument.com,"Kiel, WI 53042",Manufacturer,"Manufacturer of dimensional inspection products; systems & engineering.  High resolution gage amplifiers & comparators. Linear gage probes, transducers & sensors. Data interfaces.   Electronic gages for precision film / foil thickness inspection. Metrology processor display units performing mathematic & geometric calculation from multiple gage inputs.   DIALSINK & DI-ANGLE gages for countersinks, chamfers & tapered hole inspection.  Custom mechanical & electronic gages & systems for inspection of thickness, depth, flatness, concentricity, height, inside & outside diameter, displacement, squareness, width, length, roundness, angles, tapers & position.","Manufacturer of dimensional inspection products; systems & engineering. High resolution gage amplifiers & comparators. Linear gage probes, transducers & sensors. Data interfaces. Electronic gages for precision film / foil thickness inspection. Metrology processor display units performing mathematic & geometric calculation from multiple gage inputs. DIALSINK & DI-ANGLE gages for countersinks, chamfers & tapered hole inspection. Custom mechanical & electronic gages & systems for inspection of thickness, depth, flatness, concentricity, height, inside & outside diameter, displacement, squareness, width, length, roundness, angles, tapers & position.",,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges: Chamfer
Gauges: Custom
Gauges: Thickness
Gauges


Gauges: American Gauge Design (AGD) Standard
Gauges: Angular Measuring
Gauges: Automatic Control
Gauges: Bore
Gauges: Comparator

View all Gages categories","All Products / Services

Gages
Sensors / Detectors / Transducers
Measuring Equipment
Testers
Amplifiers
Calibrators
Comparators
Control Products
Controls and Controllers
Data Acquisition Systems


Fixtures
Indicators
Inspection Equipment
Instruments
Micrometers
Modules
Probes
Research, Design and Development Services
Stands"
"Motion Industries, Inc.",800-526-9328,https://www.motionindustries.com/,"Birmingham, AL 35210 | Locations",Distributor,"Distributor of abrasives, adhesives, blow air guns and brushes. Products include ball screw actuators, adapters, batteries, anchors, adjusters, hydraulic and bladder accumulators. Aprons, V-belts, arms, bearings, augers, bits and air blowers are also offered. Repair services are available.  Serves automotive, chemical, food, plastic, beverage, pulp, paper, oil and gas industries.",,,$250 Mil. and over,1000+  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Air Filter
Gauges: Air Pressure


Gauges: Automotive
Gauges: Ball
Gauges: Bore
Gauges: Bourdon Tube
Gauges: Depth

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Absorbers
Accumulator Parts
Accumulators
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Aligners
Aluminum


Anchors
Anti-Seize
Aprons
Arbors
Arms
Assemblies
Attachments
Augers
Axles
Barrels and Drums

View all products / services offered"
Arcade Metal Stamping,855-813-4957,https://www.arcademetalstamping.com/,"Bridgeport, CT 06607-2305",Custom Manufacturer,"ISO 9001:2015 certified custom manufacturer of metal stampings and assemblies. Materials used include aluminum, beryllium copper, brass, bronze, copper, stainless steel, steel, carbon steel, Kovar®, lead, magnesium, manganese steel, nickel and nickel alloy, nickel steel, tempered steel and titanium. Capabilities include deburring, tapping, CAD/CAM product development, riveting, engineering, CNC machining, plating, painting, welding, assembly, pressing, wire EDM and drilling. Industries served include appliance, automotive, computer/data processing, dental, electrical, electronics, energy/utilities, furniture, home furnishing, government, defense, hardware, heating and cooling, instrumentation, marine, medical, optical, printing, sporting goods, telecommunications and toy and games.",,,$5 - 9.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Automotive
Gauges: Custom
Gauges: Industrial


Gauges: Inspection
Gauges: Marine
Gauges: Military Specification
Gauges: Optical
Gauges: Precision","All Products / Services

Stamping Services
Appliance Parts
Assemblies
Automotive Parts
COVID-19 Response
Dies
Electrical Components
Electronic Components
Engineering Services
Fabrication Services


Fixtures
Furniture Parts
Gages
Hardware
Job Shop Services
Machining
Manufacturing Services
Medical Components
Optical Components
Prototyping Services

View all products / services offered"
"RDP Electrosense, Inc.",866-996-8846,https://www.rdpe.com/,"Pottstown, PA 19465",Manufacturer,"Manufacturer of transducers, amplifiers, load cells and pressure sensors for use in a wide range of applications. Products include linear displacement, LVDT gauging and displacement, submersible and non-contact transducers, AC and DC powered DIN rail mounting amplifier, LVDT and strain gauge transducer amplifier, multi-channel signal conditioning systems including serial interface and data logger module, digital panel meters, tension and compression load cells and various configurations of pressure transducers. Standard models suitable for use in severe environments are available. Specific application based custom engineered units also provided.",RDP have been manufacturing transducers and electronics for over 35 years. Our specialty lies in the field of measurement of physical parameters.,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Automatic Control
Gauges: Custom
Gauges: Differential Pressure


Gauges: Dimensional
Gauges: Displacement
Gauges: Limit
Gauges: Low Pressure
Gauges: Non-Contact

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Conditioners
Indicators
Measuring Equipment
Readout Systems
Amplifiers
Cells
Controls and Controllers
Data Acquisition Systems


Extensometers
Gages
Instruments
Meters
Modules
Resistors
Transformers
Transmitters"
"Hi-Tech Fasteners, Inc.",833-934-1953,https://www.htfinc.com/,"Frederick, MD 21703 | Locations",Distributor,"Distributor of MS and NAS fasteners, electronic hardware and mechanical components for the electronics, telecommunications, medical, aerospace, military and defense, instrumentation and commercial industries. Products include cable components, circuit board accessories, installation tools, labels and adhesives. Fastener types include rivets, inserts, captive screws, bolts, nuts, pins and studs. Fasteners are available in various features, thread size, length, grip range and shank size. Made from finished and unfinished metals such as stainless and carbon steel, brass, bronze and aluminum. Offers value-added services such as kitting, factory training, shipment tracking and barcoding. JIT delivery capable.","Hi-Tech Fasteners, Inc. is an ISO 9001:2008 certified factory authorized stocking distributor for dozens of leading engineered fastener, electronic hardware, and mechanical component lines specified by the electronics, telecommunications, medical, computer, aerospace, instrumentation and other high-tech industries. Hi-Tech Fasteners, Inc. Industrial Division distributes fasteners, tools, and general hardware to MRO's, construction OEM's and contractors, and is an authorized stocking distributor for several leading manufacturers.

In order to merit the trust and confidence of the customers we serve, Hi-Tech Fasteners only represents manufacturers who combine excellent product quality with a reputation for fair pricing and superior customer service. Hi-Tech Fasteners maintains a large inventory of a broad range of products. Our aggressive stocking policy underscores our commitment to our OEM customers, their job shops and contract manufacturers, as well as to our suppliers. This website allows More... the viewer to check available inventories of some of our authorized lines.

 Hi-Tech Fasteners can help identify opportunities to improve product design and reduce overall costs. Engineering support services include in-house seminars and new product updates. Consulting our sales representatives during your design process can provide professional feedback on your product selection. Free catalogues and technical data are available from our literature center and links to some of the manufacturers we represent are available through this website. We will also provide free samples for your prototypes. Hi-Tech Fasteners is your one stop shop for fasteners, hardware and components. Let us know how we can support you. Less",,$10 - 24.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Go/No-Go


Gauges: Metric
Gauges: Thread
Gauges: Thread Plug & Ring
Machinery: Thread Gaging","All Products / Services

Screws
Bolts
Nuts (Fasteners)
Rivets
Inserts
Fasteners
Hook and Loop Fasteners
Miscellaneous Fasteners
Nails and Brads
Studs
Washers (Fastener & Hardware)


Electronic Components
Grommets
Hardware
Adapters
Adhesives
Anchors
Assemblies
Automation Systems
Backplanes
Bases
Beads

View all products / services offered"
Circle Valve Technologies Inc.,800-645-6733,https://www.circlevalve.com,"Harleysville, PA 19438",Distributor,"Stocking distributor of valves, regulators, solenoids, tube fittings, filters, manifolds, quick connects & sample cylinders. Types of valves include check, relief, solenoid, ball, needle, plug, cryogenic, actuated, diaphragm, bellow seal & seal-off. Broad range of pressure regulators including brass, stainless steel, Monel, high pressure, corrosion resistant, back pressure, dome loaded, vaporizing and cylinder. High quality solenoid valves for various industrial and instrumentation applications including: gas, water, hydraulic oil, steam, cryogenic, high pressure, high cycle & high flow. Markets served include industrial gas, chemical, medical, power, marine, oil & gas processing.","Started in 1986, Circle Valve Technologies was built on a philosophy of providing our customers with superior technical support, the best customer service and a huge selection of items in stock and ready to ship. Our staff continues to uphold that philosophy today. The strong technical background of our staff quickly made us a leading distributor for Circle Seal Controls. We have built strong relationships with select quality venders to provide our customers with the very best. We are equipped to provide quick answers to technical questions with a variety of technical data and thorough factory technical support. Customer Service means more than answering questions quickly, it means making the customer and their concerns the priority. We recognize that every customer is part of our family. Our friendly and knowledgeable staff is able to respond to wide range of issues quickly, from simple stock checks to advanced technical issues. Circle Valve has a long standing tradition of stocking a More... large variety of valves to meet our customers' needs quickly and save our customers time. We are dedicated to working closely with customers to keep the items they need on the shelf and awaiting their order. Less",www.linkedin.com/company/2511003,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Pressure
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive


Gauges: Compound
Gauges: Dial
Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: High Pressure

View all Gages categories","All Products / Services

Valves
Adapters
Caps
Connectors
Couplers and Couplings
Crosses
Elbows
Fittings
Gages
Nipples


Regulators
Tees
Unions
Plugs and Stoppers
Sensors / Detectors / Transducers
Actuators
Cells
Controls and Controllers
Cylinders
Diaphragms

View all products / services offered"
HydraCheck,866-984-5253,https://www.hydracheck.com/,"Salt Lake City, UT 84119",Distributor,"Distributor of diagnostic instruments. Products include accumulator products, diagnostic kits, diagnostic quick disconnects, flow products, gauge port adaptors, hose/tube cleaning products & identification kits. Oil sampling products, pressure/leak products, pressure test products, safety products, temperature products, tachometers & stroboscopes are also available. Accumulator test products include accumulator charge assembly & accumulator charge kit. Diagnostic quick disconnects such as pressure test connectors, direct gauge adaptors, hose unions, hose/gauge bulkhead adaptors, microbore hoses, diagnostic nipples, diagnostic test couplings, snap-check test nipples & snap-check test couplings are available. Flow meter test products include basic inline flow meters, flow meter test kits & digital flow test products. Pressure test products such as pressure gauges, vacuum gauges & digital pressure gauges are available.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges: Pressure
Gauges
Gauges: Air
Gauges: Bourdon Tube


Gauges: Digital Pressure
Gauges: High Pressure
Gauges: Hydraulic
Gauges: Indicating
Gauges: Industrial

View all Gages categories","All Products / Services

Flowmeters
Gages
Adapters
Connectors
Couplers and Couplings
Elbows
Fittings
Nipples
Plugs and Stoppers
Unions


Multimeters
Testers
Analyzers
Assemblies
Books
Bottles
Capsules
Cells
Cleaning Compounds and Chemicals
Cleaning Equipment

View all products / services offered"
Sunnen Products Company,877-465-9590,https://www.sunnen.com/,"Saint Louis, MO 63143-2712",Manufacturer,"Manufacturer of standard and custom bore creation, sizing or finishing equipment and tools. Honing, lapping, skiving, roller burnishing or deep hole drilling machinery and tools are available. Products such as abrasives, gages, filters, cutting fluids, checkers, coolants, fixtures, inserters, lubricants, mandrels, oils and stones are also offered. Rental gages are provided. Suitable for air conditioning, refrigeration, diesel or small engine, contract manufacturing, job shop, engine building, tool and die applications. Serves the aerospace, energy, automotive, firearm, defense, hydraulic and medical industries. Machinery has 3-year warranty.","Sunnen Products Company has been a global leader in the manufacture and distribution of bore sizing and finishing equipment, engine rebuilding equipment, and tooling and abrasives since 1924.

From its beginning, Sunnen Products Company has concentrated on advancing bore sizing technology and related equipment for industrial applications. Sunnen's bore sizing products include a complete line of industrial honing machines from simple manual hones to fully-integrated systems that can provide every necessary function for most bore sizing operations. For the engine building market, Sunnen provides a full line of engine rebuilding and cleaning equipment, tools and accessories. 

Sunnen also manufactures a wide range of abrasives, lubricants and gages for both markets. Sunnen's tooling and abrasives are manufactured for use on Sunnen systems as well as machines manufactured by other companies. The Sunnen Mission has always been to keep pace with the needs of customers in the processing of new materials More... and new requirements for high volume production while maintaining the highest standards of precision. Less",www.linkedin.com/company/sunnen-products-company,$100 - 249.9 Mil,500-999  Employees,"Gauges: Electronic
Gauges: Bore
Gaging Systems
Gauges
Gauges: Aircraft & Aerospace


Gauges: Automotive
Gauges: Bore, Wireless
Gauges: Carbide
Gauges: Chamfer
Gauges: Crankshaft

View all Gages categories","All Products / Services

Drilling Services
Gages
Honing Equipment
Burnishers
Bits
Fluids
Skiving Machinery
Abrasive Compounds / Media
Drills
Filters


Heads
Lappers
Tools
Trepanning Equipment
Tubes
Air Filtration Equipment & Supplies
Alumina (Aluminum Oxide)
Arbors
Attachments
Automation Systems

View all products / services offered"
"Plainville Machine & Tool Co., Inc.",855-934-6798,http://www.plainvillemachinetool.com/,"Bristol, CT 06010-7746",Custom Manufacturer,"Custom manufacturer of metal stampings, tools & dies. Various types of tools & dies include progressive, compound, coining, forming, draw, blanking, complex & high precision tools & dies. Products include roller bearing & hinge assemblies, fixtures, inspection gages, taps, ring sensors, retainers & springs. Capabilities include wire EDM, CNC machining, sharpening, design, building, repair, retrofitting, grinding, inspection & debugging. Secondary operations include heat treating, riveting, deburring, plating, powder coating, tapping & assembly. Industries served include automotive, appliance, aerospace, telecommunications, medical, electronic, electrical & hardware. ISO 9001:2000 compliant.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Automotive


Gauges: Custom
Gauges: Fixture
Gauges: Industrial","All Products / Services

Stamping Services
Dies
Machining
Tool and Die Services
Tooling
Assemblies
Blocks
COVID-19 Response
Cutting Services
Die Components
Fabrication Services
Fixtures


Forming Services
Gages
Grinding Services
Heading Equipment
Maintenance and Repair Services
Manufacturing Services
Mounting Machinery
Prototyping Services
Punching Services
Research, Design and Development Services
Retainers
Sensors / Detectors / Transducers

View all products / services offered"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges: Pressure
Boiler Gauges: Water Level
Gaging Systems
Gauges


Gauges: Air
Gauges: Air Flow
Gauges: Air Pressure
Gauges: Aircraft & Aerospace
Gauges: Automatic Control

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers


Aerators
Annunciators
Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters

View all products / services offered"
